 Loop #    Energy
           1   20.870952857214114     
           2   18.409071455542794     
           3   18.409071434893157     
           3   17.681205077305751     
           3   17.216654780347938     
           4   15.646355070383008     
           4   13.901849857166916     
           5   12.735362662742432     
           5   10.169772531008915     
           6   7.2150730130461929     
           7   4.8489223107824886     
           8   4.8489222553061051     
           8   4.2178340762020401     
           9   4.2178340331781170     
           9   4.2178340331781152     
           9   2.3557594710069547     
          10   2.3557592390804185     
          10   2.3557514180542092     
          10   2.3557503777318778     
          10   1.0903988016432076     
          11   1.0903897280459771     
          11  0.44604239407523888     
          12  0.44597212757767690     
          12  0.44597207973365066     
          12  0.44596898108709460     
          12  0.21820483141901034     
          13  0.21820480580256171     
          13  0.21820480580256119     
          13  0.21820480580256099     
          13  0.21820461982374159     
          13  0.21820445014361681     
          13  0.17230669811792723     
          14  0.17230666672327172     
          14  0.17230666672327163     
          14  0.17230160446307843     
          14  0.16752469765675260     
          15  0.16751976927422155     
